Text,Positive,Negative
cnhi,0.0,1.0
brand,2.0,1.0
iveco,0.0,1.0
bu,0.0,2.0
deliv,0.0,1.0
crossway,0.0,1.0
low,1.0,1.0
entri,0.0,1.0
line,0.0,1.0
arriva,0.0,1.0
czech,0.0,1.0
republ,0.0,1.0
biggest,0.0,4.0
mover,0.0,4.0
yesterday,0.0,3.0
johnson,0.0,2.0
start,0.0,2.0
coronaviru,2.0,2.0
vaccin,1.0,3.0
human,0.0,1.0
trial,1.0,1.0
ahead,0.0,1.0
schedul,0.0,2.0
juli,0.0,3.0
advanc,5.0,5.0
auto,5.0,5.0
part,5.0,5.0
report,5.0,7.0
multiyear,0.0,1.0
partnership,0.0,1.0
nascar,0.0,1.0
term,0.0,1.0
disclos,0.0,1.0
tech,0.0,2.0
stock,10.0,6.0
faang,1.0,2.0
strong,3.0,3.0
day,3.0,2.0
market,7.0,5.0
await,0.0,2.0
fed,0.0,1.0
big,1.0,1.0
price,14.0,4.0
target,13.0,4.0
chang,0.0,1.0
wednesday,1.0,1.0
stifel,0.0,1.0
maintain,11.0,3.0
buy,4.0,1.0
aaron,2.0,1.0
rais,13.0,2.0
share,9.0,6.0
retail,3.0,1.0
apparel,3.0,1.0
compani,5.0,6.0
trade,11.0,6.0
lower,1.0,2.0
amid,4.0,1.0
weak,0.0,2.0
investor,0.0,2.0
today,1.0,2.0
feder,0.0,1.0
reserv,0.0,1.0
decis,0.0,1.0
updat,2.0,1.0
state,1.0,3.0
economi,3.0,1.0
sell,1.0,1.0
past,0.0,1.0
session,2.0,5.0
follow,1.0,1.0
recent,0.0,1.0
surg,0.0,1.0
sono,0.0,1.0
spike,0.0,1.0
high,6.0,4.0
citron,0.0,1.0
andrew,0.0,1.0
left,0.0,1.0
current,0.0,2.0
interview,0.0,1.0
fox,0.0,1.0
busi,0.0,2.0
said,0.0,1.0
acquir,0.0,1.0
appl,17.0,7.0
amazon,0.0,2.0
higher,2.0,3.0
despit,2.0,2.0
see,2.0,1.0
specif,0.0,1.0
news,1.0,1.0
expect,2.0,4.0
begin,2.0,2.0
iphon,5.0,2.0
product,1.0,2.0
announc,1.0,1.0
hous,0.0,1.0
chip,1.0,1.0
mac,0.0,1.0
wwdc,0.0,1.0
adj,1.0,1.0
ep,2.0,2.0
vs,3.0,0.0
est,2.0,0.0
sale,3.0,2.0
M,3.0,0.0
continu,2.0,0.0
upward,1.0,0.0
momentum,1.0,0.0
surround,1.0,0.0
reopen,7.0,2.0
increas,2.0,0.0
consum,3.0,1.0
spend,3.0,1.0
econom,3.0,1.0
activ,2.0,1.0
new,4.0,1.0
york,1.0,0.0
citi,1.0,0.0
move,3.0,3.0
phase,1.0,0.0
plan,1.0,0.0
monday,1.0,0.0
airlin,2.0,0.0
soar,1.0,0.0
pre,3.0,1.0
optim,3.0,0.0
get,3.0,0.0
patent,1.0,0.0
social,1.0,1.0
distanc,1.0,0.0
group,1.0,0.0
selfi,1.0,0.0
munster,1.0,0.0
say,3.0,0.0
radar,1.0,0.0
contribut,1.0,0.0
cupertino,1.0,0.0
net,1.0,0.0
incom,1.0,0.0
growth,2.0,0.0
español,1.0,0.0
•,1.0,0.0
cannabi,1.0,0.0
en,1.0,0.0
argentina,1.0,0.0
blockchain,1.0,0.0
uruguayo,1.0,0.0
elon,1.0,0.0
musk,2.0,0.0
warren,1.0,0.0
buffett,2.0,0.0
jeff,1.0,0.0
bezo,1.0,0.0
isiah,1.0,0.0
