title,date,stock,label
CNHI Brand  IVECO BUS delivers 145 Crossway Low Entry Line buses to ARRIVA in the Czech Republic,2020-06-11,CNHI,0.0
80 Biggest Movers From Yesterday,2020-06-11,CANF,0.0
Johnson & Johnson To Start Coronavirus Vaccine Human Trials Ahead Of Schedule In July,2020-06-11,AZN,0.0
80 Biggest Movers From Yesterday,2020-06-11,CHS,0.0
80 Biggest Movers From Yesterday,2020-06-11,CHK,0.0
"Advance Auto Parts Reports Multiyear Partnership With NASCAR, No Terms Disclosed",2020-06-10,AAP,0.0
Tech Stocks And FAANGS Strong Again To Start Day As Market Awaits Fed,2020-06-10,AAPL,0.0
10 Biggest Price Target Changes For Wednesday,2020-06-10,AAPL,0.0
"Stifel Maintains Buy on Aaron's, Raises Price Target to $70",2020-06-10,AAN,0.0
Shares of retail & apparel companies are trading lower amid market weakness as investors await today's Federal Reserve decision and update on the state of the economy. Markets have sold off over the past few sessions following recent surge.,2020-06-10,AAN,0.0
"Sonos Shares Spike To Session High, Now Up 9.5%, As Citron's Andrew Left, Currently Interviewing On FOX Business, Said Co. Could Be Acquired By Apple Or Amazon",2020-06-09,AAPL,0.0
"Apple shares are trading higher despite market weakness, not currently seeing company-specific news. It was reported the company is expected to begin iPhone 12 production in July.",2020-06-09,AAPL,0.0
Apple Could Announce In-House Chips For Macs At WWDC: Report,2020-06-09,AAPL,0.0
Why Apple's Stock Is Trading Higher Today,2020-06-09,AAPL,0.0
'iPhone 12 Production Expected to Begin in July' -MacRumors,2020-06-09,AAPL,0.0
Aaron's Sees Q2 Adj EPS $0.80-0.85 vs $0.44 Est; Sees Sales $975.000M-1.000B vs $894.27M Est,2020-06-08,AAN,1.0
"Shares of several retail and apparel companies are trading higher on continued upward momentum surrounding the economy reopening, which would increase consumer spending and economic activity. New York City moved into phase one of its reopening plan on Monday.",2020-06-08,AAN,1.0
Airlines Soar Again In Pre-Market Trading Amid More Reopening Optimism,2020-06-08,AAPL,1.0
Apple Gets Patent For Socially-Distanced Group Selfies,2020-06-08,AAPL,1.0
Munster Says Under-The-Radar Apple TV+ Will Contribute 20% Of Cupertino's Net Income Growth,2020-06-08,AAPL,1.0
"ESPAÑOL • Cannabis en Argentina, Blockchain Uruguayo, Elon Musk, Warren Buffett, Jeff Bezos, Isiah Thomas, y Canopy Growth",2020-06-05,AAPL,1.0
PreMarket Prep Stock Of The Day: Genius Brands,2020-06-05,AAPL,1.0
"Airlines, Casino Stocks Getting A Lift In Pre-Market Trading as Surprising Jobs Report Gets Digested",2020-06-05,AAPL,1.0
"Shares of several retail and apparel companies are trading higher following strong US jobs data and continued optimism amid the reopening of the economy. As the economy reopenings, consumer spending in the sector should increase.",2020-06-05,AAN,1.0
Stocks That Hit 52-Week Highs On Friday,2020-06-05,A,1.0
"Why Genius Brands Is On A Massive Rally, Adding Nearly 2500% Value In A Month",2020-06-04,AAPL,1.0
"Shares of several apparel and retail companies are trading higher potentially on some states reopening, which could boost economic activity and discretionary consumer spending.",2020-06-04,AAN,1.0
"SunTrust Robinson Humphrey Maintains Buy on Aaron's, Raises Price Target to $50",2020-06-04,AAN,1.0
FAANG Stocks Seem Immune To COVID-19,2020-06-04,AAPL,1.0
'Apple's #iPhone to join Beijing's 12.2 billion yuan ($1.7 billion) consumption voucher program: report. The discount for each purchase is a maximum of 400 yuan.' -Tweet From China's Global Times,2020-06-04,AAPL,1.0
A Look Into Apple's Price Over Earnings,2020-06-03,AAPL,1.0
"Zoom Initially Slips Despite Strong Earnings, Then Reverses Course In Pre-Market Trading",2020-06-03,AAPL,1.0
Warner Music CEO On IPO: Music Is The 'Only Global Language',2020-06-03,AAPL,1.0
Stocks That Hit 52-Week Highs On Wednesday,2020-06-03,A,1.0
"Morgan Stanley Bullish On Rising App Store Revenue, Raises Apple Price Target",2020-06-03,AAPL,1.0
Tesla CEO Musk Says Other Three Officers Should Be Charged In Floyd's Murder Case,2020-06-02,AAPL,1.0
A Peek Into The Markets: US Stock Futures Up; Crude Oil Rises Over 2%,2020-06-02,AAPL,1.0
'Apple is tracking iPhones stolen by looters' -Earlier NY Post Article,2020-06-02,AAPL,1.0
MoneyGram Shares Jump 50% As Western Union Reportedly Looks For Acquisition,2020-06-02,AAPL,1.0
